,tarih,sogan_yesil_(yerli),turp_kirmizi_(yerli),semiz_otu(bag)_yerli,armut_(yerli),biber_carli_(yerli),maydonoz_(yerli)_bag,kiraz_(yerli),biber_kÄ±l_(yerli),havuc,visne_(yerli),biber_sivri_(yerli),salatalik_(yerli),patlican_(yerli),kayisi_(yerli),marul_(yerli)adet,kabak_(yerli),fasulye_(yerli),domates_(yerli),biber_dolma_(yerli),kabak_(beyaz),misir_(taze)adet,patates(ii.),domates_(ceri),marul_(mor)adet,marul_(muhtelif)adet,marul_(aysberk)adet,biber_(koy),brokoli,patates_(taze),domates_(ii),sogan_taze_(yesil),biber_(ii),roka(bag),patates,pirasa,pazi,barbunya,turp_muhtelif,tere,sogan_(goger),salatalik_(silor),salatalik_(muhtelif),sogan_(kÄ±rmÄ±zÄ±),sogan_(kuru),sarimsak_(kuru),sarimsak_(taze),semiz_otu(bag),pancar_(kÄ±rmÄ±zÄ±),salatalik_(kornison),lahana_(buruksel),asma_yapragi,hirtlak,domates_(koy),karpuz_(ithal),fasulye_(muhtelif),feslegen(reyhan)bag,ispanak,karnabahar,kereviz,kabak_(kara),kabak_(bal),kavun_(ithal),enginar(adet),dere_otu_(bag),bakla,bezelye_(araka),biber_(sivri),biber_(dolma),biber_(carli),biber_(cin),biber_salcalÄ±k_(kapya),biber_kÄ±l,lahana_(beyaz),lahana_(mor),biber_(kÄ±l),patlican_(kemer),mandalin_(ii),domates_(salkÄ±m),domates_(muhtelif),dometes_(salcalÄ±k),salatalik_(ii),sogan_(ii),limon_(ii),nane(bag),patlican_(topak),mantar_(kultur),maydonoz_(bag),patates.1,bamya,eksi_ot_(bag),incir,kestane,hurma
10,2021-05-17,1.0,1.5,5.0,2.5,2.5,3.0,2.5,6.0,3.0,0.5,1.8,1.0,1.5,0.5,1.5,1.0,3.0,0.8,15.0,1.0,1.5,2.5,4.0,1.0,1.5,1.0,2.0,1.5,1.0,5.0,0.5,3.0,2.5,2.5,2.0,10.0,7.0,0.7,1.0,3.0,2.0,3.0,2.5,0.7,1.5,7.0,0.5,0.5,10.0,4.5,20.0,3.5,3.0,11.0,7.0,11.0,7.0,8.0,5.0,4.0,6.0,1.2,3.0,9.0,3.5,3.0,2.0,7.0,3.5,2.0,3.0,10.0,5.0,3.0,,,,,,,,,,,,,,,,,,,
11,2021-05-06,1.0,1.5,5.0,2.5,3.0,2.5,6.0,1.5,3.0,0.5,0.8,1.0,1.5,0.5,1.5,1.0,3.0,0.8,15.0,1.0,1.5,3.0,4.0,1.0,1.5,1.0,2.0,1.5,1.0,0.5,3.0,2.5,2.5,2.0,10.0,7.0,0.7,1.0,2.5,2.0,3.0,2.5,0.7,1.5,7.0,0.5,10.0,4.5,20.0,2.0,3.0,11.0,7.0,11.0,7.0,3.0,6.0,1.2,3.0,9.0,7.0,5.0,2.0,3.0,10.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2021-05-03,1.0,1.5,5.0,2.5,2.5,3.0,3.0,6.0,1.5,3.0,0.5,0.8,1.0,1.5,0.5,1.5,1.0,3.0,0.8,15.0,1.0,1.5,3.0,4.0,1.0,1.5,1.0,2.0,1.5,1.0,5.0,0.5,3.0,3.0,3.0,2.5,10.0,8.5,0.7,1.0,3.0,1.5,3.0,2.5,0.7,1.5,7.0,0.5,0.5,10.0,4.5,20.0,2.0,11.0,7.0,11.0,7.0,8.0,5.0,3.0,6.0,1.2,3.0,9.0,3.5,3.0,2.0,7.0,5.0,2.0,3.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,
13,2021-04-29,1.0,2.5,7.0,2.5,3.0,3.5,3.0,6.0,1.5,3.0,0.5,0.8,1.0,1.5,0.5,3.0,2.0,3.0,0.8,15.0,1.0,1.5,4.0,8.0,1.0,1.5,1.0,2.0,2.5,1.0,5.0,0.5,3.0,3.0,4.0,3.5,13.0,8.5,0.7,1.0,4.0,2.0,4.0,2.5,0.7,1.5,7.0,0.5,0.5,10.0,4.5,20.0,2.0,11.0,7.0,11.0,7.0,15.0,5.0,3.0,6.0,1.2,3.0,9.0,3.5,3.0,2.0,7.0,5.0,2.0,4.0,10.0,6.0,3.0,,,,,,,,,,,,,,,,,,,
14,2021-04-26,1.0,2.5,8.0,2.5,3.0,3.5,3.5,6.0,1.5,3.0,0.5,2.0,1.5,0.5,2.5,2.0,3.0,0.8,15.0,1.0,1.5,4.0,8.0,1.0,1.5,1.0,2.0,2.5,1.0,5.0,0.5,3.0,4.0,5.0,3.5,13.0,8.5,0.7,1.0,4.0,2.0,3.5,2.5,0.7,1.5,7.0,0.5,0.8,0.5,10.0,4.5,20.0,2.0,11.0,7.0,11.0,7.0,15.0,5.0,3.0,6.0,1.2,3.0,7.0,3.5,3.0,2.0,7.0,5.0,2.0,4.0,10.0,6.0,3.0,,,,,,,,,,,,,,,,,,,
15,2021-04-22,1.0,2.5,8.0,2.5,3.0,5.0,6.0,2.0,3.0,0.5,0.8,1.5,1.5,0.5,3.5,2.8,0.8,15.0,1.0,1.5,4.5,6.0,1.0,1.5,1.5,2.0,2.5,1.0,5.0,0.5,3.0,6.0,6.0,6.0,13.0,8.5,0.7,1.0,8.0,2.5,4.5,3.5,0.7,2.0,7.0,0.5,0.5,10.0,4.5,20.0,2.0,6.0,7.0,11.0,7.0,13.0,5.0,3.0,6.0,1.2,3.0,7.0,3.5,3.0,2.0,7.0,5.0,2.0,5.0,10.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,
16,2021-04-19,1.0,2.5,8.0,2.5,3.5,8.0,6.0,2.5,3.0,0.5,0.8,2.0,1.0,0.5,4.5,3.0,3.0,15.0,1.0,1.5,4.5,8.0,1.0,1.5,1.5,2.0,2.5,1.0,5.0,0.5,3.0,8.0,6.0,6.0,13.0,8.5,0.7,1.0,10.0,3.0,4.5,3.5,0.7,2.0,7.0,0.5,0.5,10.0,4.5,20.0,2.0,13.0,7.0,11.0,7.0,15.0,5.0,3.0,6.0,1.2,3.0,7.0,3.5,3.0,2.0,7.0,5.0,2.0,5.0,10.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,
17,2021-04-15,1.0,2.5,8.0,2.5,3.0,3.5,8.0,6.0,2.5,3.0,0.5,0.8,2.0,1.5,0.5,5.0,3.5,3.0,0.8,15.0,1.0,1.5,4.5,8.0,1.0,1.5,3.0,2.0,2.5,1.0,5.0,0.5,3.0,8.0,6.0,6.0,13.0,8.5,0.7,1.0,10.0,2.0,4.5,3.5,0.7,2.0,7.0,0.5,0.5,10.0,4.5,25.0,2.0,12.0,7.0,11.0,7.0,15.0,5.0,3.0,6.0,1.2,3.0,7.0,3.5,3.0,2.0,7.0,4.0,2.0,6.0,10.0,7.0,3.0,,,,,,,,,,,,,,,,,,,
18,2021-04-12,1.0,2.0,7.0,2.5,3.5,8.0,6.0,3.0,0.5,0.8,1.5,1.5,0.5,2.0,2.0,3.0,0.8,15.0,1.0,1.5,4.5,8.0,1.0,1.0,3.0,2.0,2.0,1.0,5.0,0.5,3.0,8.0,6.0,6.0,15.0,8.5,0.7,1.0,10.0,2.0,4.0,3.5,0.5,2.0,7.0,0.5,8.0,10.0,2.5,4.5,5.0,20.0,2.0,12.0,7.0,11.0,7.0,15.0,5.0,3.0,6.0,1.2,3.0,7.0,3.5,3.0,2.0,7.0,4.0,2.0,8.0,10.0,7.0,3.0,,,,,,,,,,,,,,,,,,,
19,2021-03-29,1.0,2.0,6.0,1.5,1.0,2.0,7.0,5.0,4.0,0.5,0.8,1.5,1.0,0.5,3.0,2.5,3.0,0.8,15.0,1.0,1.5,4.0,10.0,0.7,1.0,2.5,2.0,2.0,1.0,5.0,0.5,4.0,7.0,4.5,6.0,15.0,8.5,0.7,1.0,10.0,3.0,2.5,4.0,3.0,0.5,3.0,7.0,0.5,0.5,8.0,6.0,2.5,4.5,5.0,20.0,2.0,20.0,7.0,11.0,7.0,15.0,5.0,2.0,6.0,1.2,3.0,10.0,3.5,3.0,2.0,7.0,4.0,2.0,20.0,8.0,3.0,,,,,,,,,,,,,,,,,
